cluster_id,label_en,label_de,n_keywords,total_sv,median_sv,mean_kd,median_kd,mean_cpc,mean_priority,pct_commercial,top_5_kw_by_sv,top_3_kw_by_priority,top_terms
0,Factoring Accounting and Licensing,Factoring Buchhaltung und Genehmigung,15,3516,161,35.7,39,3.23,8.4,27.0,factoring buchen; factoring erlaubnis; offenes factoring; echtes factoring; factoring kfw,factoring buchen; factoring erlaubnis; echtes factoring,factoring; online; buchen; erlaubnis; offenes; echtes
1,Time Tracking and Work Hour Management,Zeiterfassungs- und Arbeitszeitverwaltung,47,26159,149,47.6,43,6.47,9.3,94.0,zeiterfassung software; mobile zeiterfassung; zeitarbeitssoftware; roi zeitarbeit software; zeitarbeit software,zeitarbeitssoftware; zeiterfassung software; mobile zeiterfassung,zeiterfassung; cloud; mobile; dsgvo; zeitarbeitssoftware; lohnabrechnung
2,AI-Powered Recruiting Automation,KI-gestützte Recruiting-Automatisierung,34,12075,152,37.2,38,3.28,10.4,44.0,ki recruiting; recruiting software; recruiting plattform; automatisierung recruiting prozess; active sourcing tools,ki recruiting; candidate experience verbessern; automatisierung recruiting prozess,recruiting; sourcing; tool; chatbot; candidate; konkurrenz
3,Zvoove Software Products and Features,Zvoove Softwareprodukte und Features,34,2817,75,52.2,51,6.44,1.8,97.0,zvoove integration datev; zvoove cockpit funktionen; zvoove one demo; support zvoove; zvoove one,bewerber pool aufbauen; zvoove integration datev; zvoove cashlink kosten,zvoove; cashlink; preise; payroll; erfahrungen; cockpit
4,Talent Acquisition and Applicant Management Catch-all,Personalgewinnung und Bewerbermanagement Catch-all,32,14455,176,34.1,35,2.58,13.8,22.0,aüg; bewerber finden; lohnabrechnung sage; indeed alternative; offboarding prozess,aüg; bewerber finden; lizenzmodell saas,lohnabrechnung; stellenanzeige; alternative; erstellen; bewerber; finden
5,Temporary Work Regulation and Market Trends,Zeitarbeit Regulierung und Markttrends,20,11462,156,33.0,32,2.02,17.6,5.0,höchstüberlassungsdauer; fachkräftemangel deutschland; gig economy deutschland; gesetzliche abzüge lohn; markt zeitarbeit deutschland,fachkräftemangel deutschland; höchstüberlassungsdauer; gig economy deutschland,deutschland; erlaubnis; höchstüberlassungsdauer; überlassungsvertrag; statistik; fachkräftemangel
6,Personnel Scheduling and Administration,Personaleinsatzplanung und Verwaltung,34,12386,121,36.8,35,2.82,8.9,32.0,personaleinsatzplanung; personalakte inhalt; gehaltsabrechnung outsourcing; azubi verwaltung; karriereseite erstellen,personaleinsatzplanung; karriereseite erstellen; personalakte inhalt,personalakte; bewerbermanagement; lohnabrechnung; personaleinsatzplanung; inhalt; gehaltsabrechnung
7,Digital Transformation of HR Services and AI,Digitalisierung Personaldienstleistungen und KI,37,23984,167,35.5,32,3.37,16.8,35.0,digitalisierung zeitarbeit; digitalisierung personaldienstleistung; künstliche intelligenz personaldienstleistung; digitale zeiterfassung; elektronische lohnabrechnung,digitalisierung zeitarbeit; digitalisierung personaldienstleistung; künstliche intelligenz personaldienstleistung,digital; digitalisierung; lohnabrechnung; digitale; datenschutz; personalakte
8,Liquidity Management and Wage Tariffs,Liquidität und Tarifkosten Zeitarbeit,34,15571,157,33.3,33,2.49,12.9,18.0,debitorenmanagement; equal pay zeitarbeit; zahlungsausfall absichern; liquidität zeitarbeit; tariflandschaft zeitarbeit,debitorenmanagement; equal pay zeitarbeit; igz tarifvertrag aktuell,kosten; equal; tarifvertrag; factoring; liquidität; aktuell
9,Building Cleaning Specialized Software,Gebäudereinigungs-Spezialisoftware,27,8467,136,40.2,39,4.35,6.7,52.0,gebäudereinigung software; disposition gebäudereinigung; auftragsverwaltung gebäudereinigung; reinigungskalkulation software; unterhaltsreinigung kalkulation,gebäudereinigung software; gebäudereinigung digitalisieren; disposition gebäudereinigung,gebäudereinigung; reinigung; zeiterfassung; kalkulation; gebäudedienstleistung; reinigungskräfte
10,HR Administration Software for SMEs,HR-Verwaltungssoftware für KMU,45,45567,262,52.5,52,6.47,16.9,89.0,dokumentenmanagement software; bewerbermanagement software; mitarbeiterverwaltung software; hr software kmu; gehaltsabrechnung software,dokumentenmanagement software; mitarbeiterverwaltung software; hr software kmu,bewerbermanagement; management; facility; vergleich; dokumentenmanagement; mitarbeiterverwaltung
11,Employee Leasing Law and Compliance,Arbeitnehmerüberlassung Recht und Compliance,44,14429,154,30.7,30,1.81,9.2,2.0,arbeitnehmerüberlassung; arbeitnehmerüberlassungsgesetz; einkommensteuer zeitarbeit; arbeitsschutz zeitarbeit; arbeitgeberanteile sozialversicherung,arbeitnehmerüberlassungsgesetz; arbeitnehmerüberlassung; arbeitsmarkt 2026,arbeitsvertrag; arbeitsmarkt; arbeitnehmerüberlassung; sozialversicherung; employer; branding
12,Temporary Work Software and Process Management,Zeitarbeit Software und Prozessmanagement,97,28301,131,36.5,35,3.45,7.4,34.0,zeitarbeit programm; zeitarbeit branche entwicklung; factoring zeitarbeit; crm zeitarbeit; lohnabrechnung zeitarbeit,zeitarbeit programm; zeitarbeit branche entwicklung; factoring zeitarbeit,zeiterfassung; factoring; lohnabrechnung; saas; pflege; dsgvo
